ticker,n_observations,industry,avg_market_cap_b,pos_correlation,neg_correlation,unc_correlation,pos_slope,neg_slope,pos_p_value,neg_p_value,mean_car,std_car,mean_pos_sentiment,std_pos_sentiment,pos_significant,neg_significant
TD,45,Other,54.56719112390244,0.325594070438651,-0.29986536280787474,-0.05778577048235318,1.0851942582063105,-0.8361734545704316,0.029069327871168275,0.0453633746841599,-0.002564625491648136,0.023120011482269432,0.033541742338277475,0.006936766012329311,True,True
MDT,76,Healthcare,68.87241271367984,0.2727096780624298,-0.18173711713109683,-0.20677615596906385,1.2709565013491082,-0.9049090956941761,0.017153928638230405,0.11613506320697725,0.002111011281137522,0.03328637329764768,0.03719835918613425,0.007142271302150518,True,False
XOM,73,Energy,208.12975929034772,0.23142445485281538,0.02457947211437439,0.02621245463579422,0.7798060705132087,0.10432732677594078,0.04883883448554208,0.8364678665049472,-0.007610795964397974,0.023156477020973405,0.03506706981407339,0.006872189475729076,True,False
LMT,61,Industrial,36.51502226150464,0.21209670018407042,-0.2566775355955182,-0.06816804555117446,1.2024785742113713,-2.264279907745939,0.10080008553021731,0.04584322054348144,-0.0014460303435677693,0.03292470014368848,0.03284966534129393,0.005807355245066352,False,True
BAC,75,Financial,121.97368358280369,0.20294536890396517,-0.26805380623219255,-0.14634107600784993,1.3239788589768837,-1.454121328882231,0.08076567801512215,0.02006395215197736,-0.007672755122699324,0.04600390876120602,0.028049412800990096,0.007051683772188028,False,True
PEP,67,Consumer,90.98319006684937,0.20156842303990957,-0.1626669307873177,-0.03055146221056739,0.6520433201107525,-0.7881001556736869,0.10190323831669643,0.18843993099889056,-0.0025447289826181626,0.02782604896416018,0.047454168729431846,0.008601963452649722,False,False
ORCL,69,Technology,86.90148891009093,0.19451297724831368,0.055407909701404016,0.20470084439568814,1.561371591022338,0.5717212313310179,0.10925150609907221,0.6511306545170308,0.00117032382603841,0.05421199308729732,0.029034670995419575,0.0067536365069065345,False,False
TSLA,43,Technology,90.76220935031522,0.16424341271934725,-0.09069226054727109,-0.034149319878554976,3.2460856474055086,-2.4727134957279664,0.292594269385006,0.5630085274920829,0.0010374017091416756,0.10801939309924591,0.030962179240580315,0.005465497737767038,False,False
SAP,60,Other,79.98857136742514,0.15040028556507373,-0.29263371667190047,-0.08695469344489912,1.0804021719590289,-2.8265982693806597,0.25137026695423115,0.023270355999505478,-0.007087199535322718,0.04897282830253345,0.03745306886220159,0.006817394071204877,False,True
UNH,57,Healthcare,94.64435772953529,0.14689985432408484,0.2545285819211393,-0.06247082048197684,1.1795592005761875,2.1747828188098968,0.27552499124123636,0.05604649370162761,0.009873831685349556,0.04721201168108414,0.04268733291297372,0.005879685932601305,False,False
BA,80,Industrial,108.13999090921553,0.14435453913146776,-0.0717872000452027,-0.045342532871950864,0.6244195713822241,-0.395422227359974,0.20141567218331,0.5268668776100232,0.007744743010201729,0.04150862938549949,0.039200525088854,0.009596046215621956,False,False
TMO,66,Healthcare,49.87252016005011,0.14006615534965058,-0.08307928547390708,0.11693533177388175,0.6724066479271895,-0.6147889363737866,0.2619893813812533,0.50720797451582,0.00806339982609748,0.038627167594305144,0.04319275636402352,0.0080462602112268,False,False
HON,70,Industrial,46.114456178016624,0.13260383760523353,-0.15367479588366265,-0.0576308326313817,0.5016288182964954,-0.5970975531304031,0.2738199061922621,0.20403293239848644,0.005980666357467257,0.022746394582705012,0.04182284945740381,0.00601293048432232,False,False
IBM,83,Other,84.80669683446263,0.12754717079385672,-0.14356328228874404,0.1143814017403938,0.6724426793563693,-0.9604754560340465,0.2505197949897514,0.19538680123935814,-0.005708721933553027,0.04341749385730504,0.03251764804784767,0.008235316815047213,False,False
F,137,Other,26.157113701608314,0.11457510869915767,0.007995943036492682,0.09829770178859527,0.6049369727775726,0.04713375332522133,0.18247458116749343,0.9261148365803207,0.0004656777112946279,0.042153451829434696,0.03624573965192922,0.007983866985723185,False,False
PM,65,Other,77.90210409018817,0.11439522490228549,-0.21206840422019865,0.08077702198787881,0.7400894512592012,-1.1617191516110323,0.36421009135095295,0.08990017841423208,0.0026982647981501004,0.04114917849251137,0.035383096341716054,0.006360406191692228,False,False
GM,81,Other,25.70772605854767,0.10698915109300676,-0.08150472450250815,-0.0201640376593062,0.5199375340573413,-0.4817393187955008,0.3417727135188029,0.46946737767255153,0.003929660165280115,0.03620089118050231,0.03639750129383441,0.007449169106889505,False,False
SNY,44,Other,74.12185447320408,0.10461809168518094,0.083058479906922,-0.0920537118676596,0.6732028079262843,0.47805511644494453,0.49914333148085654,0.591948586979554,-0.00048627144135216134,0.038179003706875735,0.032779678275667495,0.005933151887108819,False,False
QCOM,81,Other,50.500266689591044,0.07982314034190763,-0.09747539918584587,0.004541266218325587,0.7687077370361355,-0.7892250895135012,0.4787132242024297,0.38665070625974896,0.00172838891942868,0.0654778792305014,0.0330988623488333,0.006799268032944355,False,False
EBAY,72,Other,9.614004035438434,0.07613732907164873,-0.08087044050177648,0.10637852548732651,0.6511841782951788,-1.1953555211672675,0.5249957182936265,0.4994812812543914,-0.003032542782688704,0.0676125045993123,0.03791515720629216,0.007905344883399047,False,False
NFLX,77,Technology,49.64821928322807,0.07410457210316039,0.0013675487167281277,0.08277366769728386,1.7646059162382752,0.028422737543530627,0.521840722149236,0.9905820579838216,0.012033137316323201,0.14804434776695397,0.0360484524378549,0.006217117908653894,False,False
ASML,67,Other,36.7292340549494,0.07344242131766494,0.08002390736592344,-0.19446247456170537,0.7914766913051511,0.5927972753720471,0.5547632852428257,0.519750114799404,0.01331949498134938,0.04727600248508579,0.022304750688718955,0.004386817869518287,False,False
GOOG,34,Technology,249.43233123374696,0.06814418944771153,0.2875182494590468,-0.16386553054678596,0.6116955082584072,2.0546003896762954,0.7017726190334936,0.09918420098099777,0.009855629401214141,0.05088982383901094,0.03854753357177925,0.00566923534638946,False,False
MET,64,Other,18.685103214659108,0.0596323244754202,-0.13735201011738854,-0.15990209469271155,0.37678321967979533,-0.8635635188016351,0.6397323342979915,0.27911981572802436,-0.0022730442123554445,0.04297484412811535,0.02892621258451629,0.006801496763858676,False,False
MSFT,101,Technology,411.9720157940786,0.05849902191724587,0.0003800318718844032,0.027695184888057917,0.2792339380267988,0.002931184489432339,0.5611811367736853,0.9969905995538972,0.002402955948063795,0.042027476905919646,0.03648173943094214,0.008804682947994608,False,False
PG,83,Consumer,142.3107043564913,0.05744900400292849,0.048418323744271324,0.2928334974270307,0.21035338448099294,0.23336375077726212,0.6059422546777711,0.6637967042880613,-0.0006047148005169467,0.027553359244852978,0.04373505284406672,0.007525018194773632,False,False
MS,64,Financial,42.334466494209636,0.05015430336214219,-0.15943289619486706,-0.09502663930118653,0.6597822188117697,-2.090597994714575,0.6938953765110587,0.20825001620345784,0.00978334642643537,0.0742559043881571,0.03170789631508204,0.005644670391119398,False,False
MCO,56,Financial,15.507328323986851,0.042200359364446126,0.059509455069074804,-0.03577649574754257,0.33630339414351584,0.4195105062804423,0.7574633751931232,0.663075914120408,0.00025568143841986406,0.04373197676951414,0.023869633743385195,0.005487619713417303,False,False
ADBE,66,Technology,48.61697513620036,0.04198830365834915,0.043207350249703416,0.12332748848287076,0.25358784313528937,0.5292302717590952,0.7378176660599473,0.7304911007734222,0.009498948415772434,0.05034624949576616,0.04374326702491547,0.008336178839454228,False,False
CRM,75,Technology,68.91858425818256,0.041871985213438656,-0.10080011140659435,0.013460680300066086,0.34774873294248215,-2.0651472929247654,0.7213254292283231,0.38952062617615424,0.019872438052158506,0.07317093224489249,0.03794403864152181,0.00881041942866954,False,False
UPS,53,Industrial,47.55034739723972,0.015546032287362713,-0.11245510186049895,0.05256304714865872,0.12286538247939155,-0.818864784535137,0.9120249750670899,0.4227198748064127,-0.0019388787027029074,0.047960731765186025,0.04267667365410269,0.006068422768896563,False,False
JNJ,88,Healthcare,196.40407401821557,0.015382502491221516,0.06905713765901922,0.11833375495827456,0.049580206773492334,0.23908656009695542,0.8868858485108428,0.5226182598562843,0.0008086708435633707,0.022771084281326865,0.039112694139706014,0.007064840658804956,False,False
CMCSA,91,Other,78.64180945141652,0.0109831202952039,0.007436375299405318,0.21794006436941257,0.04667085287904647,0.041825858017275654,0.9177034226912493,0.9442264445565779,0.008550310312072838,0.03484771153019703,0.03945826040778847,0.008200763091701565,False,False
NKE,58,Consumer,45.29393803837323,0.00679355403807196,-0.053264539809433645,0.23665149482935122,0.05976691729084584,-0.5875953674890825,0.9596343424394504,0.6912920631504225,0.013652086074703064,0.05836681645397056,0.051864580589744316,0.006634408123823528,False,False
ABT,66,Healthcare,65.45875457356682,0.0041036910463635255,0.3421781498044487,0.14536114672178313,0.015834116938856477,1.483344788121922,0.9739124831873918,0.004920637777950593,0.002606020681185338,0.0340380048219371,0.0392383457906701,0.00882155008474691,False,True
AMGN,83,Healthcare,55.250336608097435,-0.006623603278914518,0.19982671532405866,-0.001693194960079361,-0.02680435903065043,1.1784292733258868,0.9526101114875598,0.07010784602294096,0.004343070585313385,0.03848418902218139,0.03416441627076816,0.009509796533549171,False,False
HD,88,Consumer,91.19404025997318,-0.012747280927706018,-0.09296107091191756,-0.023955173923290097,-0.07607495118589175,-0.38313278778989945,0.906166641540085,0.3889898170663757,0.0009515985737092015,0.02895477575934692,0.03838478619779927,0.004851723925543272,False,False
TMUS,50,Telecom,53.39012742444766,-0.01863249533318253,-0.0569228118601691,0.027260032564804942,-0.35160285498829763,-1.0635633088316927,0.8978084254619711,0.6945830336565697,0.016645934099993334,0.09195259584121869,0.03354915334720788,0.00487284528148257,False,False
AZN,40,Other,76.05885511839412,-0.02838247426487925,0.11223727846510657,0.15859453336338367,-0.18869374356458685,0.696570123031615,0.8619839234957432,0.4904928933227265,-0.0007252204327037485,0.03981404957943565,0.033202718959064625,0.005988652385722426,False,False
T,120,Telecom,90.13794564317809,-0.032633085306297015,-0.08366334057055269,0.014526442719519889,-0.09186932331490992,-0.5065661863122563,0.7234662047316982,0.3636208496596036,-0.004162788226538141,0.026265557254768694,0.03924539295307207,0.00932984090428353,False,False
FDX,51,Industrial,28.969625906903254,-0.03402495635113756,-0.0567808274086726,0.17922590644926895,-0.35743966942677463,-0.523355606214247,0.8126323997669446,0.6922798379871542,-0.006430675027122866,0.061370981195527786,0.03793663041555522,0.005841950782220316,False,False
BLK,58,Financial,40.778744577201635,-0.03520375150678749,-0.006319808134105782,-0.14841816441968275,-0.2878223922679861,-0.044485815002684816,0.7930525449814493,0.9624471272122211,0.0030178334293061242,0.045606792842132246,0.03527557914242194,0.005578197684984421,False,False
V,96,Financial,158.63861505606005,-0.03788098583119317,-0.010419890167684583,0.15612493222917484,-0.15680045605352128,-0.04237440103518559,0.7140472637677526,0.9197417740317511,0.0032179921105197546,0.02757739045211652,0.03070930381077819,0.006662345016530629,False,False
AMT,62,Other,41.87975986552114,-0.045982377653053415,-0.1790136756607756,0.045070369142123326,-0.24366891458791873,-1.5982418672588847,0.7226757344402623,0.16387893166434403,0.003515066361972749,0.030345991705877914,0.026206995669349892,0.005726544369584059,False,False
ISRG,53,Healthcare,29.352083057995284,-0.050434245432078355,-0.24797706440400608,-0.2475793661128521,-1.082920251945706,-5.450370216101559,0.7198643880887983,0.0734007051369711,0.026173448140928573,0.10043576010847091,0.02284244969740446,0.004677539058270312,False,False
INTU,63,Technology,27.709406836378932,-0.05256001116410381,-0.004963228864333248,0.093824314321146,-0.4669409174114608,-0.06331480963030232,0.6824581392402271,0.9692047116438494,0.01505777246252897,0.05298546064090312,0.03656478007915474,0.0059641729798698,False,False
LLY,76,Healthcare,56.022974760452264,-0.05288519194451764,0.05164787342734403,-0.09585168423973284,-0.19446087745145443,0.17826893401628588,0.6500309584067068,0.6577010359001443,-0.005527438828241907,0.026567909606555626,0.03260863147302539,0.007225355647477458,False,False
MCD,75,Consumer,64.89397321131463,-0.057867815303801355,-0.2074397331914633,-0.15045438634268346,-0.18876740302201322,-0.9966563464638051,0.6219092341846737,0.07413375292548648,-0.006337079534372999,0.027814494859544604,0.041250357072479434,0.008526705487985968,False,False
INTC,89,Technology,132.2009567377867,-0.07871394311924385,0.045447205027504316,0.025591471618136952,-0.42475804120295546,0.30156780524123594,0.46341998634798176,0.6723640747801569,-0.0019138984069291373,0.04465912662807646,0.032479344368373006,0.008275996242947779,False,False
COST,65,Consumer,50.560568456020754,-0.08048204397283526,-0.06624949294430356,0.28365180182660604,-0.524551993049259,-0.4651490347223831,0.5239216606442709,0.6000466436945538,-0.0026850086865537787,0.030945562990543466,0.024504277050353945,0.004747979598535587,False,False
DUK,60,Other,34.97974017053836,-0.0997715682536014,0.04109482697127466,0.13746399236754506,-0.3581239096893473,0.20488953289774847,0.4481723973086419,0.7552269373402092,-0.0007660207447172895,0.024955880398344253,0.03283635831085207,0.006952586122082594,False,False
AXP,68,Financial,44.22080006211501,-0.1041684773328165,0.17757321865130615,0.09898611662556048,-0.8389453781192879,1.1251771290883448,0.39790269328197625,0.14742154049095738,0.0025672354116332463,0.0536882415304376,0.03305529960394798,0.006666253270790369,False,False
BMY,98,Healthcare,72.36689394308958,-0.10577107009426562,-0.08480303262907225,0.027627616909922513,-0.366137884638697,-0.3651145174570282,0.2999425769092011,0.4064071687784935,-0.002655737343711804,0.03115226637396688,0.03927202094420879,0.00899936523500588,False,False
GS,68,Financial,44.39493390721649,-0.10807115642611076,0.13301808177803798,0.025797243514845875,-0.6338647850169593,0.7227025923313068,0.3803625929778708,0.2795312306813231,-0.0007456127096098738,0.03829736871036033,0.029070022449133388,0.006529532831667018,False,False
BKNG,61,Other,32.58066365087932,-0.12887994614673987,0.029424922460137008,0.31006615991132047,-1.9060723042396095,0.38769540640114425,0.3222246774943509,0.8218934695342439,0.0291667386411008,0.08855979759561854,0.03224521609641954,0.005988011010654039,False,False
JPM,91,Financial,146.53600562549488,-0.14065752874578213,-0.057965764470677715,-0.028850416723276415,-0.8592548949438696,-0.28879844277429617,0.18356419775422322,0.5852217361219496,0.004674776597108668,0.03954146078002193,0.028137532169277987,0.006472822196351262,False,False
MA,99,Financial,110.13363331509098,-0.159157913048261,0.09285200869343024,0.13722855524892213,-1.2009825402422043,0.7452671201019793,0.11559449812379367,0.36065940943486563,0.01182997550526954,0.048935507722727374,0.02930179149918092,0.0064850845221576916,False,False
UNP,59,Industrial,46.180745765695725,-0.21457542540776167,0.1319172999120637,0.1593911152457621,-1.8371235532765078,0.9052473014931571,0.10268126483377857,0.3192710796801218,0.005193383760146415,0.04290102960501465,0.04472362556729355,0.005010826115374215,False,False
